X,Y,OBJECTID,Count_,Int_Number,Location,Dist
770422.823273301,2952890.15903802,560,218,79,Boylston St. & Dartmouth St.,BP
769835.259055093,2952672.91301855,561,219,80,Boylston St. & Exeter St.,BP
768687.072826892,2952249.65882114,562,221,1573,Boylston St. & Gloucester St.,BP
772624.079106331,2953667.71611053,563,222,123,Boylston St. & Hadassah Way,BP
764299.384627238,2950627.65831482,564,224,1248,Boylston St. & Kilmarnock St.,BP
763023.695687339,2940800.65307018,565,225,1143,Boylston St. & Lamartine St.,WR
767611.010155082,2951850.6588476,566,226,92,Boylston St. & Massachusetts Ave.,BP
773872.573892951,2953735.41025889,567,229,3,Boylston St. & Tremont St.,BP
764821.247864991,2941285.29694371,568,239,801,Bragdon St. & Columbus Ave.,RX
764830.951604262,2940926.93976837,569,240,3079,Bray St. & Columbus Ave.,RX
755616.44614771,2953860.40543818,570,241,185,Brighton Ave. & Harvard Ave.,AB
774748.824541271,2955491.40941226,571,249,10,Bromfield St. & Tremont St.,BP
761596.321704075,2947817.90772013,572,250,9013,Brookline Ave & Riverway,RX
762349.31801109,2948773.16094139,573,252,270,Brookline Ave. & Longwood Ave.,RX
762755.615813717,2949300.77089448,574,253,458,Brookline Ave. & Short St.,RX
782632.604326561,2962309.23726517,575,257,1466,Brooks St. & Chelsea St.,EB
758336.821752101,2927954.40381706,576,258,454,Brown Ave. & Cummins Hwy.,WR
760464.362461582,2938805.36984009,577,264,1540,Burroughs St. & Centre St.,WR
761007.22647503,2943312.53559531,578,266,1419,Bynner St. & South Huntington Ave.,WR
751963.342876598,2953042.10987031,579,269,2062,Cambridge St. & Dustin St.,AB
752673.677538887,2953345.7911053,580,270,699,Cambridge St. & Eleanor St. @ School Driveway,AB
753399.209677547,2953722.236645,581,271,449,Cambridge St. & Gordon St.,AB
757136.257966787,2955653.40914072,582,274,803,Cambridge St. & North Harvard St.,AB
758017.445333958,2956080.24403061,583,276,1326,Cambridge St. & Windom St.,AB
755597.570160061,2954904.15879965,584,277,1154,Cambridge St. @ Highgate St.,AB
759225.432719484,2926793.76585543,585,290,797,Canterbury St. & Hyde Park Ave.,WR
758591.571995527,2926618.65361641,586,291,1714,Canterbury St. & Pinedale Rd.,WR
760183.2593465,2937385.15586223,587,295,1787,Carolina Ave. & South St.,WR
774451.139283478,2958279.90665635,588,297,303,Causeway St. & Portland St.,BP
765142.362640873,2944864.63694061,589,300,1077,Cedar St. & Columbus Ave.,RX
767364.23597008,2943440.95324288,590,301,64,Cedar St. & Washington St.,RX
758688.132480055,2918497.03247586,591,303,1132,Central Ave. & River St.,HP
751815.508011758,2930055.40404959,592,307,439,Centre St. & Colbert St.,WR
749552.25326699,2929491.65170674,593,308,272,Centre St. & Corey St.,WR
748668.446210116,2927495.40265942,594,309,261,Centre St. & LaGrange St.,WR
764183.946793452,2942918.15158017,595,310,805,Centre St. & Lamartine St.,RX
763017.822263628,2942877.15522121,596,311,1090,Centre St. & Mozart St.,RX
765502.384961739,2944693.40727629,597,302,1017,"Cedar St., Centre St., & Fort Ave.",RX
748904.257434607,2928296.90351543,598,312,1779,Centre St. & Mt. Vernon St.,WR
749125.444997385,2929114.40368582,599,313,1687,Centre St. & Park St.,WR
780715.637342945,2961714.41117159,600,305,170,"Central Sq., Meridian St., & Saratoga St.",EB
752299.885737419,2930254.9033782,601,315,513,Centre St. & South St.,WR
764769.195707157,2943690.02126873,602,318,196,"Centre St., Columbus Ave., & Heath St.",RX
754638.883393824,2932531.15459622,603,316,353,Centre St. & Weld St.,WR
764769.195707157,2943690.02126873,604,319,287,"Centre St., Columbus Ave., & Ritchie St.",RX
750276.883828163,2929995.6518058,605,317,1493,Centre St. & Willow St.,WR
772421.385840073,2955422.15978153,606,330,140,Charles St. & Chestnut St.,BP
762043.322062597,2942742.65674166,607,320,1089,"Centre St., Creighton St., & Forbes St.",RX
772307.448372126,2955698.15960646,608,331,141,Charles St. & Mt. Vernon St.,BP
760156.009368792,2938135.90581629,609,321,242,"Centre St., Eliot St., & South St.",WR
772189.510907993,2956069.90991433,610,332,142,Charles St. & Pinckney St.,BP
760542.010921583,2939405.89566006,611,323,293,"Centre St., Green St., & Myrtle St.",WR
772179.135917917,2956314.15980041,612,333,143,Charles St. & Revere St.,BP
748330.382541195,2926822.15320835,613,324,620,"Centre St., Lorette St., & St. Theresa Ave.",WR
773250.086217821,2953214.21060368,614,335,1732,Charles St. South & Stuart St.,BP
771951.136912107,2931079.65489028,615,325,225,"Centre St., Norfolk St., Talbot Ave., & Washington St. (Codman Sq.)",DO
775971.449152932,2959519.91070285,616,341,537,Charter St. & Commercial St.,BP
748161.007198974,2926610.65325652,617,326,275,"Centre St., Spring St., & Temple St.",WR
775296.448913127,2954543.15950605,618,342,59,Chauncy St. & Summer St.,BP
771606.948959604,2938150.90620135,619,327,995,"Ceylon St., Columbia Rd., & Columbia Terrace",DO
775518.695961997,2961535.39326286,620,343,4037,Chelsea St. & Constitution Rd.,CH
773073.261032715,2953777.6594975,621,329,9008,"Charles Circle, Charles St., & Storrow Dr. Ramp",BP
776060.838310286,2962106.25612241,622,344,3038,Chelsea St. & Fifth St.,CH
773315.573307365,2952422.9096591,623,336,1783,"Charles St. South, Jefferson St., & Tremont St.",BP
782242.762528718,2961847.41131438,624,345,445,Chelsea St. & Marion St.,EB
766568.812216759,2952409.19126473,625,337,3090,Charlesgate East & Commonwealth Ave.,BP
783376.449734479,2963180.66266312,626,346,2311,Chelsea St. & Prescott St.,EB
766568.812216759,2952409.19126473,627,338,3091,Charlesgate East & Commonwealth Ave.,BP
777198.851555198,2963652.19431278,628,347,4053,Chelsea St. & Sixteenth St.,CH
766568.812216759,2952409.19126473,629,339,3088,Charlesgate West & Commonwealth Ave.,BP
777047.863405108,2963377.81928478,630,348,3039,Chelsea St. & Thirteenth St.,CH
766568.812216759,2952409.19126473,631,340,3089,Charlesgate West & Commonwealth Ave.,BP
774925.690493017,2960977.94969554,632,349,2339,Chelsea St. & Warren St.,CH
781807.01267913,2961339.16123334,633,352,396,"Chelsea St., George R. Visconti Rd., & Porter St.",EB
772437.323823646,2945766.15788323,634,354,1157,Chesterton St. & Massachusetts Ave.,RX
749747.694431871,2950071.40781285,635,357,2070,"Chestnut Hill Ave., Hatherly Rd., & Engine #29",AB
749940.381808266,2948377.90760083,636,355,182,Chestnut Hill Ave. & Commonwealth Ave.,AB
749849.818834588,2952423.15618907,637,358,184,"Chestnut Hill Ave., Market St., & Washington St.",AB
749564.319449365,2949683.65785114,638,356,713,Chestnut Hill Ave. & Embassy Rd.,AB
749362.1318385,2949251.40764117,639,359,631,"Chestnut Hill Ave., South St., & Strathmore Rd.",AB
760252.00923565,2937009.65555933,640,360,809,Child St. & South St.,WR
770776.760596409,2953689.65924571,641,365,3044,Clarendon St. & Commonwealth Ave.,BP
750483.569880947,2949226.15728967,642,361,453,Chiswick Rd. & Commonwealth Ave.,AB
770776.760596409,2953689.65924571,643,366,3045,Clarendon St. & Commonwealth Ave.,BP
772763.542033255,2953047.86228517,644,362,347,Church St. & Stuart St,BP
769265.010792568,2942189.15701817,645,372,1204,"Clifford St., Dale St., & Warren St.",RX
751031.789870217,2932025.27939709,646,363,687,Church St. & Weld St.,WR
758867.384591535,2923759.40321809,647,376,568,"Collins St., Hyde Park Ave., & Metropolitan Ave.",HP
771460.261066467,2951863.15896377,648,364,1639,Clarendon St. & Columbus Ave.,BP
773756.949238285,2940865.15694907,649,387,223,"Columbia Rd., Dudley St., & Stoughton St. (Uphams Corner)",DO
770621.198198587,2954108.40946724,650,367,679,Clarendon St. & Marlborough St.,BP
765812.889600173,2946061.89070565,651,398,192,"Columbus Ave., Malcolm X Blvd., & Tremont St.",RX
770885.448402584,2953394.40912725,652,368,742,Clarendon St. & Newbury St.,BP
765690.751934648,2939483.02398671,653,399,616,"Columbus Ave., Seaver St., & Walnut Ave.",RX
771104.19835645,2952800.90922399,654,369,707,Clarendon St. & St. James Ave.,BP
770198.945376381,2953473.90830261,655,417,3046,Commonwealth Ave. & Dartmouth St.,BP
771226.018029809,2952473.96100061,656,370,466,Clarendon St. & Stuart St.,BP
769621.573068738,2953259.65899724,657,418,4010,Commonwealth Ave. & Exeter St.,BP
771920.260935277,2950625.15859401,658,371,1250,Clarendon St. & Tremont St.,BP
768996.822894737,2953029.65906247,659,419,4008,Commonwealth Ave. & Fairfield St.,BP
776206.046990484,2956817.96179569,660,373,4108,Clinton St. & North St.,BP
768472.447865859,2952837.65906261,661,420,4006,Commonwealth Ave. & Gloucester St.,BP
768063.948282152,2952683.90735738,662,422,4004,Commonwealth Ave. & Hereford St.,BP
751887.94483462,2949826.15767698,663,375,1206,Colborne Rd. & Commonwealth Ave.,AB
770198.945376381,2953473.90830261,664,423,3047,Commonwealth Ave. & Dartmouth St.,BP
770873.824329808,2937359.40563743,665,377,1164,Columbia Rd. & Devon St.,DO
776030.387008116,2942183.657272,666,378,221,Columbia Rd. & Dorchester Ave.,DO
769621.573068738,2953259.65899724,667,424,4011,Commonwealth Ave. & Exeter St.,BP
770260.695864603,2936830.90722698,668,380,541,Columbia Rd. & Geneva Ave,DO
768996.822894737,2953029.65906247,669,425,4009,Commonwealth Ave. & Fairfield St.,BP
773460.886798456,2940400.15679486,670,381,226,Columbia Rd. & Hancock St.,DO
768472.447865859,2952837.65906261,671,426,4007,Commonwealth Ave. & Gloucester St.,BP
775237.91633755,2941933.23774865,672,382,448,Columbia Rd. & Pond St.,DO
747694.568912789,2949168.65740281,673,427,1789,Commonwealth Ave. & Greycliff St.,AB
772462.38669531,2938749.15646294,674,383,371,Columbia Rd. & Quincy St.,DO
768063.948282152,2952683.90735738,675,428,4005,Commonwealth Ave. & Hereford St.,BP
769150.885889158,2936131.90582606,676,384,229,Columbia Rd. & Seaver St.,DO
759282.446096405,2953363.40876524,677,429,1422,"Commonwealth Ave., Harry Agganis Way, & Pleasant St.",BP
769654.698610216,2936574.656028,678,385,144,Columbia Rd. & Washington St.,DO
753501.070111707,2952218.6583305,679,430,323,"Commonwealth Ave., Kelton St., & Warren St.",AB
750700.632035986,2949423.40770636,680,431,1191,"Commonwealth Ave., Kinross St., & Wallingford Rd.",AB
746426.818582267,2949137.65741336,681,432,879,"Commonwealth Ave., Lake St., & St. Thomas Moore Rd.",AB
770239.073403448,2949398.6584543,682,433,1620,"Concord Sq., Tremont St., & West Concord St.",BP
778924.458503038,2952443.89932492,683,443,4056,"Congress St., East Service Rd., & Ramp CI",SB
775520.887378871,2957441.91072541,684,444,1685,"Congress St., New Sudbury St., & Sudbury St.",BP
775860.371375009,2956608.23158009,685,445,26,"Congress St., North St., & Union St",BP
754523.883358046,2930184.40424164,686,447,1205,"Congreve St., South St., & Washington St.",WR
775603.011560932,2957808.66017468,687,448,4095,"Cooper St., Cross St., North Washington St., & Ramp ST-SA  (Monitor #34)",BP
769235.385833472,2942541.15703683,688,449,712,"Copeland St., Warren St., & Waverly St.",RX
756570.446287438,2929355.65417308,689,453,251,"Corinth St., Poplar St., & Washington St.",WR
775684.074140131,2956097.90998986,690,455,25,"Court St., State St., & Washington St.",BP
776046.887004256,2941462.15693659,691,457,523,"Crescent Ave., Dorchester Ave., & East Cottage St.",DO
776478.535584792,2957339.95764162,692,459,301,"Cross St., North St., & Ramp CN-SA  (Monitor #1961)",BP
776089.762328133,2957609.65956776,693,460,292,"Cross St., Salem St., & Sudbury St.  (Monitor #4094)",BP
768898.456053585,2950768.31829719,694,461,4000,Cumberland St. & Huntington Ave.,BP
768898.456053585,2950768.31829719,695,462,4001,Cumberland St. & Huntington Ave.,BP
761933.259899005,2925240.653275,696,470,906,"Cummins Hwy., Harvard St., & Wood Ave.",DO
763174.697981641,2924152.90331763,697,471,346,"Cummins Hwy., Itasca St., & Ridlon Rd.",DO
765465.823133171,2923316.90327092,698,472,952,"Cummins Hwy., Rexford St., & Rockdale St.",DO
780709.121895328,2952541.83372214,699,485,606,"D St., Northern Ave., & Seaport Blvd. at Boston Fish Pier",SB
770538.385739014,2952594.40892076,700,493,81,"Dartmouth St., Huntington Ave., & St. James Ave.",BP
771402.26090157,2950247.15860258,701,494,145,"Dartmouth St., Tremont St., & West Dedham St.",BP
